id,height,face,torso,left_shin,left_shin2,right_shin,shoulder,left_arm,right_arm,var1,var2,var3,var4
2deba2,620.4446922,15.59844684,165.1439804,154.7945817,185.8935455,163.5192118,124.6215113,112.395741,102.8785491,3,60,98,12
02-Dec-06,620.6077244,16.26080554,163.2255331,154.7034909,186.1921266,163.1421426,126.5379511,112.4053805,102.888881,4,58,97,12
2dee5e,812.9645764,70.34927712,302.8100427,180.3824832,254.8666188,181.2303903,165.1741869,151.9384332,135.8711286,3,59,95,11
2deec2,815.0793331,67.48868009,301.2288558,181.2010909,254.9341086,181.6480743,166.2445523,152.0019291,136.1905451,4,59,97,11
2def26,817.5242516,63.26277401,299.3115201,182.1679845,254.809602,182.4746111,167.3143311,151.3899904,136.2260466,5,58,96,12
2def8a,819.8276238,59.20711608,297.0528841,183.0040235,254.3192057,183.300839,168.2489155,149.9027844,136.2758581,3,55,96,13
2defee,822.1177263,55.42911259,294.4505027,183.7013146,253.8771153,184.0571324,169.2644152,147.6418747,136.4522293,2,58,99,10
2df246,935.647471,26.15708057,313.4297786,140.5427792,266.4599192,213.4408603,237.3085347,181.2078683,131.6596156,3,57,95,11
2df2aa,933.3957386,25.47031537,313.1108266,142.2002895,264.6261978,213.7844437,235.3771502,181.3940239,138.3711582,2,57,94,12
2df30e,930.2410745,24.66082993,312.7095026,143.2707251,261.6518538,214.1263981,233.4913122,181.9707719,145.2141288,1,56,94,13
2df372,927.0862315,25.29270956,312.1757836,143.8451665,258.9684002,214.5858307,231.7163968,183.2835935,150.9793875,5,58,96,10
2df3d6,924.291846,25.94107478,311.4919076,144.4132575,256.2048053,214.9832916,230.0193291,185.7185399,154.8712642,5,60,95,10
2df62e,888.6318658,87.44718423,306.7712469,196.6596549,301.542883,165.6973052,201.2821556,155.9396612,171.2675062,4,58,94,12
2df692,888.754762,87.33770788,306.5681985,196.6510917,302.3407958,165.4468738,201.2192243,156.1413274,171.3205206,5,58,95,12
2df6f6,888.8953898,87.21853335,306.2988043,196.7156547,303.4154953,165.2572934,201.2234176,156.3727413,171.2227389,4,59,93,12
2df75a,889.0358643,87.08997749,306.1011291,196.6452396,303.963049,164.9407085,201.2254485,156.7237757,171.0678058,3,56,93,12
2df7be,889.4785737,86.98259838,305.9056237,196.5788238,304.1754939,164.826119,201.1621579,157.2246861,170.9342239,5,58,96,12
2dfa16,950.2942122,101.6672223,346.0751652,199.9187558,260.4644819,201.9654062,216.5073121,148.9968241,184.8456557,4,56,99,12
